area_id,ref_year,sexid,agegrpstart,nmx,nqx,ndx,npx,lx,nlx,tx,ex
AC,2020,male,85,0.12908,0.487932507,13047.92019,0.512067493,26741.23983,101086.3987,176892.5201,6.614970777
AC,2020,male,90,0.18064,1,13693.31964,0,13693.31964,75806.12136,75806.12136,5.535992976
AC,2020,total,0,0.01502,0.014814524,1481.452397,0.985185476,100000,98658.46126,7508806.809,75.08806809
AC,2020,total,1,0.00057,0.002279234,224.5468524,0.997720766,98518.5476,393512.8068,7410148.348,75.21576929
AC,2020,total,5,0.00021,0.001025764,100.8264576,0.998974236,98294.00075,491217.9376,7016635.541,71.38416879
AC,2020,total,10,0.00039,0.001925159,189.0375166,0.998074841,98193.17429,490493.2777,6525417.603,66.45490025
AC,2020,total,15,0.00114,0.005700422,558.6649749,0.994299578,98004.13678,488624.0214,6034924.325,61.57826112
AC,2020,total,20,0.00149,0.007445599,725.5399469,0.992554401,97445.4718,485413.5091,5546300.304,56.91696291
AC,2020,total,25,0.00152,0.007586369,733.753052,0.992413631,96719.93185,481765.2766,5060886.795,52.32516915
AC,2020,total,30,0.00199,0.009886561,948.9732228,0.990113439,95986.1788,477558.461,4579121.518,47.70605076
AC,2020,total,35,0.00229,0.011407169,1084.105469,0.988592831,95037.20558,472475.7642,4101563.057,43.15744589
AC,2020,total,40,0.00313,0.015535294,1459.588996,0.984464706,93953.10011,466116.5281,3629087.293,38.62658378
AC,2020,total,45,0.00454,0.022421008,2073.79779,0.977578992,92493.51112,457283.0611,3162970.765,34.19667744
AC,2020,total,50,0.00635,0.031235177,2824.275725,0.968764823,90419.71333,445037.8773,2705687.704,29.92364833
AC,2020,total,55,0.01015,0.049517472,4337.504641,0.950482528,87595.4376,427133.4264,2260649.827,25.807849
AC,2020,total,60,0.0147,0.070875624,5900.957927,0.929124376,83257.93296,401537.27,1833516.4,22.02212252
AC,2020,total,65,0.01818,0.08693729,6725.205798,0.91306271,77356.97503,369971.8607,1431979.13,18.51131239
AC,2020,total,70,0.02864,0.133640441,9439.260792,0.866359559,70631.76923,329560.6942,1062007.27,15.03582992
AC,2020,total,75,0.04547,0.204134396,12491.49578,0.795865604,61192.50844,274733.8028,732446.5753,11.9695465
AC,2020,total,80,0.06856,0.292651532,14252.42598,0.707348468,48701.01267,207873.9984,457712.7725,9.398424129
AC,2020,total,85,0.11269,0.439589111,15143.2236,0.560410889,34448.58669,134384.8745,249838.7741,7.252511587
AC,2020,total,90,0.16721,1,19305.36309,0,19305.36309,115453.8997,115453.8997,5.980405504
AC,2021,female,0,0.01326,0.013106375,1310.637499,0.986893625,100000,98806.4275,7883118.676,78.83118676
AC,2021,female,1,0.00053,0.002098116,207.0617616,0.997901884,98689.3625,394240.3551,7784312.249,78.87691289
AC,2021,female,5,0.00019,0.000946456,93.20916747,0.999053544,98482.30074,492178.4808,7390071.894,75.0395943
AC,2021,female,10,0.00035,0.001769793,174.1283686,0.998230207,98389.09157,491510.1369,6897893.413,70.10831488
AC,2021,female,15,0.00057,0.002867918,281.672487,0.997132082,98214.9632,490370.6348,6406383.276,65.22817977
AC,2021,female,20,0.00078,0.003912884,383.2016121,0.996087116,97933.29072,488708.4496,5916012.641,60.40859648
AC,2021,female,25,0.00078,0.003908394,381.2642073,0.996091606,97550.0891,486797.285,5427304.192,55.63607621
AC,2021,female,30,0.00105,0.005237628,508.9341105,0.994762372,97168.8249,484571.7892,4940506.907,50.84456781
AC,2021,female,35,0.00123,0.006150311,594.4883438,0.993849689,96659.89079,481813.2331,4455935.117,46.09911186
AC,2021,female,40,0.00173,0.00858942,825.1460993,0.99141058,96065.40244,478264.147,3974121.884,41.36891933
AC,2021,female,45,0.0028,0.013906676,1324.475424,0.986093324,95240.25634,472890.0932,3495857.737,36.70567333
AC,2021,female,50,0.00475,0.023460252,2203.287843,0.976539748,93915.78092,464070.685,3022967.644,32.18806908
AC,2021,female,55,0.00798,0.039097505,3585.72965,0.960902495,91712.49308,449598.1413,2558896.959,27.90129102
AC,2021,female,60,0.01236,0.059949391,5283.145763,0.940050609,88126.76343,427425.9527,2109298.818,23.93482679
AC,2021,female,65,0.01422,0.06866597,5688.537331,0.93133403,82843.61766,399996.745,1681872.865,20.30177958
AC,2021,female,70,0.02131,0.101154101,7804.552766,0.898845899,77155.08033,366264.0197,1281876.12,16.61428016
AC,2021,female,75,0.03442,0.158453396,10988.82659,0.841546604,69350.52757,319280.5714,915612.1005,13.20266958
AC,2021,female,80,0.05858,0.255481051,14910.30869,0.744518949,58361.70098,254532.7332,596331.5291,10.21785724
AC,2021,female,85,0.09894,0.396607747,17233.15879,0.603392253,43451.39229,174174.0645,341798.796,7.866233462
AC,2021,female,90,0.15641,1,26218.2335,0,26218.2335,167624.7315,167624.7315,6.393441095
AC,2021,male,0,0.01586,0.015633251,1563.32507,0.984366749,100000,98573.38082,7212114.277,72.12114277
AC,2021,male,1,0.00059,0.002339099,230.2531272,0.997660901,98436.67493,393195.45,7113540.897,72.26514814
AC,2021,male,5,0.00022,0.001086602,106.7112513,0.998913398,98206.4218,490765.3309,6720345.446,68.43081464
AC,2021,male,10,0.0004,0.002013889,197.5619682,0.997986111,98099.71055,490004.6478,6229580.116,63.50253309
AC,2021,male,15,0.00164,0.008153804,798.2748852,0.991846196,97902.14858,487515.0557,5739575.468,58.62563336
AC,2021,male,20,0.00213,0.010576169,1026.986953,0.989423831,97103.8737,482951.9011,5252060.412,54.08703291
AC,2021,male,25,0.00219,0.010900292,1047.26615,0.989099708,96076.88675,477766.2684,4769108.511,49.63845804
AC,2021,male,30,0.0028,0.013908092,1321.680706,0.986091908,95029.6206,471843.9012,4291342.243,45.15794355
AC,2021,male,35,0.00323,0.016041466,1503.212766,0.983958534,93707.93989,464781.6675,3819498.341,40.75960208
AC,2021,male,40,0.0044,0.021775427,2007.797278,0.978224573,92204.72712,456004.1424,3354716.674,36.383348
AC,2021,male,45,0.00611,0.030079519,2713.080251,0.969920481,90196.92985,444201.9486,2898712.531,32.13759644
AC,2021,male,50,0.00771,0.037800239,3306.910424,0.962199761,87483.84959,429151.9719,2454510.583,28.05672812
AC,2021,male,55,0.012,0.05826377,4904.465783,0.94173623,84176.93917,408623.5314,2025358.611,24.06073006
AC,2021,male,60,0.01656,0.079494271,6301.707464,0.920505729,79272.47339,380608.0983,1616735.08,20.39465921
AC,2021,male,65,0.02172,0.103008608,7516.617049,0.896991392,72970.76592,346062.287,1236126.981,16.94003024
AC,2021,male,70,0.03583,0.16441079,10761.36832,0.83558921,65454.14888,300367.3236,890064.6942,13.598293
AC,2021,male,75,0.05836,0.254638584,13926.89222,0.745361416,54692.78056,238646.6722,589697.3707,10.78199654
AC,2021,male,80,0.07975,0.332463781,13553.18139,0.667536219,40765.88834,169946.4882,351050.6984,8.611383506
AC,2021,male,85,0.12777,0.484195409,13176.26778,0.515804591,27212.70695,103122.8653,181104.2102,6.655133962
AC,2021,male,90,0.18,1,14036.43917,0,14036.43917,77981.34493,77981.34493,5.555635871
AC,2021,total,0,0.01459,0.014399403,1439.940339,0.985600597,100000,98694.25952,7533288.385,75.33288385
AC,2021,total,1,0.00056,0.002239358,220.7112797,0.997760642,98560.05966,393688.5931,7434594.126,75.43211877
AC,2021,total,5,0.00021,0.001025769,100.8734828,0.998974231,98339.34838,491444.5582,7040905.533,71.5980495
AC,2021,total,10,0.00038,0.001875279,184.2245545,0.998124721,98238.4749,490731.8131,6549460.975,66.66900093
AC,2021,total,15,0.00111,0.005551731,544.3708661,0.994448269,98054.25034,488910.3246,6058729.161,61.7895618
AC,2021,total,20,0.00147,0.007300556,711.8763843,0.992699444,97509.87948,485769.7064,5569818.837,57.12055913
AC,2021,total,25,0.00149,0.007409781,717.2520314,0.992590219,96798.00309,482196.8854,5084049.13,52.5222522
AC,2021,total,30,0.00194,0.009633142,925.5594905,0.990366858,96080.75106,478089.8566,4601852.245,47.89567311
AC,2021,total,35,0.00224,0.011138097,1059.847764,0.988861903,95155.19157,473126.3384,4123762.389,43.33722964
AC,2021,total,40,0.00307,0.015214965,1431.657382,0.984785035,94095.34381,466897.5756,3650636.05,38.79720188
AC,2021,total,45,0.00445,0.021994668,2038.107016,0.978005332,92663.68643,458223.1646,3183738.474,34.357995
AC,2021,total,50,0.00623,0.030672656,2779.727218,0.969327344,90625.57941,446178.579,2725515.31,30.07445941
AC,2021,total,55,0.00997,0.048659497,4274.534967,0.951340503,87845.85219,428542.9235,2279336.731,25.9470046
AC,2021,total,60,0.01445,0.069729609,5827.395285,0.930270391,83571.31722,403288.0979,1850793.807,22.14628019
AC,2021,total,65,0.01793,0.085796811,6670.180612,0.914203189,77743.92194,372044.1582,1447505.709,18.6188923
AC,2021,total,70,0.02831,0.132198052,9395.810139,0.867801948,71073.74133,331879.1813,1075461.551,15.13162993
AC,2021,total,75,0.04495,0.202048913,12461.95897,0.797951087,61677.93119,277234.7585,743582.37,12.05589026
AC,2021,total,80,0.06762,0.289199034,14233.21163,0.710800966,49215.97222,210496.832,466347.6115,9.475533866
AC,2021,total,85,0.11117,0.434969106,15216.42009,0.565030894,34982.76058,136872.7527,255850.7795,7.313624631
AC,2021,total,90,0.16613,1,19766.34049,0,19766.34049,118978.0268,118978.0268,6.019223784
AL,2010,female,0,0.02838,0.027696889,2769.688871,0.972303111,100000,97598.93087,7397163.396,73.97163396
AL,2010,female,1,0.00066,0.002643975,257.0745551,0.997356025,97230.31113,388273.1576,7299564.465,75.07498824
AL,2010,female,5,0.00033,0.001652214,160.2205574,0.998347786,96973.23657,484465.6315,6911291.307,71.27009009
AL,2010,female,10,0.00041,0.00204505,197.9874715,0.99795495,96813.01602,483570.1114,6426825.676,66.38390105
AL,2010,female,15,0.00074,0.003678101,355.3597979,0.996321899,96615.02855,482186.7432,5943255.564,61.51481456
AL,2010,female,20,0.00076,0.003802033,365.9824502,0.996197967,96259.66875,480383.3876,5461068.821,56.73267831
AL,2010,female,25,0.00094,0.004707247,451.3952616,0.995292753,95893.6863,478339.9433,4980685.434,51.9396597
AL,2010,female,30,0.0015,0.007458167,711.8245612,0.992541833,95442.29104,475431.8938,4502345.49,47.17348506
AL,2010,female,35,0.002,0.009929644,940.6398398,0.990070356,94730.46647,471300.7328,4026913.596,42.50917098
AL,2010,female,40,0.0029,0.014377793,1348.490676,0.985622207,93789.82663,465577.9065,3555612.864,37.9104322
AL,2010,female,45,0.00385,0.019082014,1763.966896,0.980917986,92441.33596,457796.7626,3090034.957,33.42698291
AL,2010,female,50,0.00662,0.032558531,2952.321927,0.967441469,90677.36906,446006.0405,2632238.195,29.02861234
AL,2010,female,55,0.00972,0.04742448,4160.314738,0.95257552,87725.04714,428224.4488,2186232.154,24.92141327
AL,2010,female,60,0.0143,0.069031501,5768.598867,0.930968499,83564.7324,403402.1648,1758007.705,21.03767528
AL,2010,female,65,0.02118,0.100576423,7824.456821,0.899423577,77796.13353,369419.5256,1354605.541,17.41224761
AL,2010,female,70,0.03416,0.157366903,11011.22609,0.842633097,69971.67671,322330.3183,985186.0149,14.07978287
AL,2010,female,75,0.04664,0.208846525,12313.68524,0.791153475,58960.45062,264018.04,662855.6966,11.2423784
AL,2010,female,80,0.07997,0.333244562,15544.7809,0.666755438,46646.76538,194371.8747,398837.6566,8.550167483
AL,2010,female,85,0.12155,0.466097408,14496.55436,0.533902592,31101.98448,119268.5365,204465.7819,6.574042953
AL,2010,female,90,0.19491,1,16605.43013,0,16605.43013,85197.24539,85197.24539,5.130685851
AL,2010,male,0,0.03355,0.032603151,3260.315126,0.967396849,100000,97183.85084,6460096.279,64.60096279
